method	mode	MAE	Corr	Acc7	Acc5	Acc2	F1	J	direction
selected_coverage_30	L	0.5571888511	0.755947669	0.5220346929	0.5451242382	0.8442400483	0.8436173203	0.5571888511	B
selected_coverage_30	Overall	0.5553925492	0.7579312363	0.5221812002	0.5454758556	0.8451447527	0.8446213475	0.5549523935	B
selected_coverage_50	LAV	0.5539902401	0.759444794	0.5210970464	0.5446554149	0.8442400483	0.8438203692	0.5539902401	B
selected_coverage_50	LA	0.5556588108	0.7579906797	0.5227379278	0.545827473	0.8454463209	0.8448155355	0.5556588108	B
selected_coverage_50	LV	0.5547240887	0.7586586426	0.5206282232	0.5443037975	0.845747889	0.8452828106	0.5547240887	B
selected_coverage_50	L	0.5570818125	0.7559221901	0.5212142522	0.5443037975	0.8448431846	0.8441969731	0.5570818125	B
selected_coverage_50	Overall	0.555363738	0.7580005908	0.5214193624	0.5447726207	0.8450693607	0.8445298746	0.5549059054	B
selected_coverage_100	LAV	0.5542711435	0.7587040933	0.5216830755	0.5450070323	0.8472557298	0.8465681782	0.5542711435	B
selected_coverage_100	LA	0.5558091825	0.7572485152	0.522620722	0.5459446789	0.847708082	0.8468189327	0.5558091825	B
selected_coverage_100	LV	0.5551019938	0.7577479085	0.5209798406	0.5446554149	0.8478588661	0.8471611491	0.5551019938	B
selected_coverage_100	L	0.5573494254	0.7553084244	0.5219174871	0.5446554149	0.8465018094	0.8456325613	0.5573494254	B
selected_coverage_100	Overall	0.5556329363	0.7572479623	0.5218002813	0.5450656353	0.8473311218	0.8465461497	0.5551790054	B
control__N0_random_same_mode_source__seed23401	LAV	0.5545892809	0.759057021	0.522620722	0.5462962963	0.8460494572	0.8456223623	0.5545892809	B
control__N0_random_same_mode_source__seed23401	LA	0.5564493811	0.7576043221	0.5220346929	0.5450070323	0.845747889	0.8451567977	0.5564493811	B
control__N0_random_same_mode_source__seed23401	LV	0.5551819989	0.7582959207	0.5209798406	0.5443037975	0.843787696	0.8433104079	0.5551819989	B
control__N0_random_same_mode_source__seed23401	L	0.5562804225	0.757551595	0.521331458	0.5444210033	0.8452955368	0.8447091116	0.5562804225	B
control__N0_random_same_mode_source__seed23401	Overall	0.5556252708	0.7581211211	0.5217416784	0.5450070323	0.8452201448	0.8447001502	0.5552799409	B
control__N0_random_same_mode_source__seed23402	LAV	0.5548950808	0.7584416454	0.5235583685	0.5468823254	0.8462002413	0.8457550834	0.5548950808	B
